ecdg_code,ecdg_subgroup,icd10
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S30.90
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S40.9
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S50.9
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S60.9
"E2040 Finger, toe and superficial injuries",E2041 Open wounds subcategory,S61.0
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S62.50
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S62.60
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S63.10
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S63.68
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S70.9
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S80.9
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S90.9
"E2040 Finger, toe and superficial injuries",E2041 Open wounds subcategory,S91.1
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S92.4
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S92.5
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S93.10
"E2040 Finger, toe and superficial injuries","E2042 Fractures, dislocations and sprains subcategory",S93.5
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,T00.9
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,T14.9
E2050 Burns,"E2059 Burns, other subcategory",T20.0
E2050 Burns,"E2059 Burns, other subcategory",T20.1
E2050 Burns,"E2059 Burns, other subcategory",T20.2
E2050 Burns,E2051 Severe burns subcategory,T20.3
E2050 Burns,"E2059 Burns, other subcategory",T21.09
E2050 Burns,"E2059 Burns, other subcategory",T21.19
E2050 Burns,"E2059 Burns, other subcategory",T21.29
E2050 Burns,E2051 Severe burns subcategory,T21.39
E2050 Burns,"E2059 Burns, other subcategory",T22.00
E2050 Burns,"E2059 Burns, other subcategory",T22.10
E2050 Burns,"E2059 Burns, other subcategory",T22.20
E2050 Burns,E2051 Severe burns subcategory,T22.30
E2050 Burns,"E2059 Burns, other subcategory",T23.0
E2050 Burns,"E2059 Burns, other subcategory",T23.1
E2050 Burns,"E2059 Burns, other subcategory",T23.2
E2050 Burns,E2051 Severe burns subcategory,T23.3
E2050 Burns,"E2059 Burns, other subcategory",T24.0
E2050 Burns,"E2059 Burns, other subcategory",T24.1
E2050 Burns,"E2059 Burns, other subcategory",T24.2
E2050 Burns,E2051 Severe burns subcategory,T24.3
E2050 Burns,"E2059 Burns, other subcategory",T25.0
E2050 Burns,"E2059 Burns, other subcategory",T25.1
E2050 Burns,"E2059 Burns, other subcategory",T25.2
E2050 Burns,E2051 Severe burns subcategory,T25.3
E2050 Burns,E2051 Severe burns subcategory,T26.4
E2050 Burns,E2051 Severe burns subcategory,T28.4
E2050 Burns,"E2059 Burns, other subcategory",T29.0
E2050 Burns,"E2059 Burns, other subcategory",T29.1
E2050 Burns,"E2059 Burns, other subcategory",T29.2
E2050 Burns,E2051 Severe burns subcategory,T29.3
E2060 Poisoning,E2061 Poisoning subcategory,T36.9
E2060 Poisoning,E2061 Poisoning subcategory,T37.9
E2060 Poisoning,E2061 Poisoning subcategory,T38.9
E2060 Poisoning,E2061 Poisoning subcategory,T39.0
E2060 Poisoning,E2061 Poisoning subcategory,T39.1
E2060 Poisoning,E2061 Poisoning subcategory,T39.9
E2060 Poisoning,E2061 Poisoning subcategory,T40.1
E2060 Poisoning,E2061 Poisoning subcategory,T40.2
E2060 Poisoning,E2061 Poisoning subcategory,T40.9
E2060 Poisoning,E2061 Poisoning subcategory,T41.21
E2060 Poisoning,E2061 Poisoning subcategory,T41.22
E2060 Poisoning,E2061 Poisoning subcategory,T41.4
E2060 Poisoning,E2061 Poisoning subcategory,T42.3
E2060 Poisoning,E2061 Poisoning subcategory,T42.4
E2060 Poisoning,E2061 Poisoning subcategory,T42.7
E2060 Poisoning,E2061 Poisoning subcategory,T43.0
E2060 Poisoning,E2061 Poisoning subcategory,T43.2
E2060 Poisoning,E2061 Poisoning subcategory,T43.9
E2060 Poisoning,E2061 Poisoning subcategory,T44.9
E2060 Poisoning,E2061 Poisoning subcategory,T45.1
E2060 Poisoning,E2061 Poisoning subcategory,T45.4
E2060 Poisoning,E2061 Poisoning subcategory,T45.5
E2060 Poisoning,E2061 Poisoning subcategory,T45.9
E2060 Poisoning,E2061 Poisoning subcategory,T46.9
E2060 Poisoning,E2061 Poisoning subcategory,T47.9
E2060 Poisoning,E2061 Poisoning subcategory,T48.7
E2060 Poisoning,E2061 Poisoning subcategory,T49.9
E2060 Poisoning,E2061 Poisoning subcategory,T50.9
E2060 Poisoning,E2061 Poisoning subcategory,T51.0
E2060 Poisoning,E2061 Poisoning subcategory,T51.9
E2060 Poisoning,E2061 Poisoning subcategory,T52.9
E2060 Poisoning,E2061 Poisoning subcategory,T58
E2060 Poisoning,E2061 Poisoning subcategory,T59.9
E2060 Poisoning,E2061 Poisoning subcategory,T62.9
E2060 Poisoning,E2061 Poisoning subcategory,T63.0
E2060 Poisoning,E2061 Poisoning subcategory,T63.3
E2060 Poisoning,E2061 Poisoning subcategory,T63.4
E2060 Poisoning,E2061 Poisoning subcategory,T63.6
E2060 Poisoning,E2061 Poisoning subcategory,T63.9
E2060 Poisoning,E2061 Poisoning subcategory,T65.9
E2070 Allergic reactions,E2071 Anaphylactic shock subcategory,T78.0
E2070 Allergic reactions,"E2079 Allergic reactions, other subcategory",T78.1
E2070 Allergic reactions,E2071 Anaphylactic shock subcategory,T78.2
E2070 Allergic reactions,"E2079 Allergic reactions, other subcategory",T78.3
E2070 Allergic reactions,"E2079 Allergic reactions, other subcategory",T78.4
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T80.9
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T81.0
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T81.3
E2080 Complications of surgical and medical care,E2081 Postoperative infections subcategory,T81.4
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T81.9
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T82.9
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T83.0
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T83.9
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T84.9
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T85.5
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T85.9
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T88.7
E2080 Complications of surgical and medical care,"E2089 Complications of surgical and medical care, other subcategory",T88.9
E5010 Pain syndrome,E5011 Pain syndrome subcategory,R52.9
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",G47.0
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",G47.9
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",R18
"E5090 Symptoms,   other",E5091 Dizziness subcategory,R42
"E5090 Symptoms,   other",E5092 Fatigue and weakness subcategory,R53
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",R57.9
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",R58
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",R60.9
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",R68.1
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",R69
"E5090 Symptoms,   other","E5099 Symptoms, other subcategory",R73
"E5090 Symptoms,   other",E5093 Abnormal test result subcategory,R79.9
"E5090 Symptoms,   other",E5093 Abnormal test result subcategory,R82.9
"E5090 Symptoms,   other",E5093 Abnormal test result subcategory,R93.8
E6010   Forensic examination,E6011 Forensic examination or observation subcategory,Z04.0
E6010   Forensic examination,E6011 Forensic examination or observation subcategory,Z04.9
E6020 Abuse and neglect,E6021 Abuse and neglect subcategory,T74.1
E6020 Abuse and neglect,E6021 Abuse and neglect subcategory,T74.2
E6020 Abuse and neglect,E6021 Abuse and neglect subcategory,T74.3
E6020 Abuse and neglect,E6021 Abuse and neglect subcategory,T74.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Q89.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Q99.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,R99
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z02.7
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z09.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z29.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z30.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z38.0
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z38.1
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z43.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z47.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z48.0
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z60.9
E6090 Other factors influencing health status,E6099 Other factors influencing health status subcategory,Z76.0
